uuid_inventario,occurrence_type,target_name,next_state_prediction
INV-000000,Monitoração de Sinalização Vertical,Target_0,improving
INV-000001,Monitoração de Sinalização Horizontal - Zebrados,Target_1,improving
INV-000002,Monitoração de Sinalização Horizontal - Zebrados,Target_2,degrading
INV-000003,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_3,stable
INV-000004,Monitoração de Sinalização Vertical,Target_4,degrading
INV-000005,Monitoração de Sinalização Horizontal - Zebrados,Target_5,degrading
INV-000006,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_6,improving
INV-000007,Monitoração de Sinalização Horizontal - Zebrados,Target_7,degrading
INV-000008,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_8,stable
INV-000009,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_9,critical
INV-000010,Monitoração de OAE,Target_10,degrading
INV-000011,Monitoração de OAE,Target_11,degrading
INV-000012,Monitoração de Sinalização Horizontal - Zebrados,Target_12,improving
INV-000013,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_13,improving
INV-000014,Monitoração de Drenagem Profunda,Target_14,improving
INV-000015,Monitoração de Terraplenos e Estruturas de Contenção,Target_15,critical
INV-000016,Monitoração de Drenagem Profunda,Target_16,improving
INV-000017,Monitoração de Terraplenos e Estruturas de Contenção,Target_17,stable
INV-000018,Monitoração de Drenagem Profunda,Target_18,stable
INV-000019,Monitoração de OAE,Target_19,improving
INV-000020,Monitoração de Sinalização Vertical,Target_20,improving
INV-000021,Monitoração de OAE,Target_21,critical
INV-000022,Monitoração de Terraplenos e Estruturas de Contenção,Target_22,critical
INV-000023,Monitoração de Sinalização Vertical,Target_23,stable
INV-000024,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_24,critical
INV-000025,Monitoração de Sinalização Horizontal - Zebrados,Target_25,improving
INV-000026,Monitoração de Drenagem Profunda,Target_26,critical
INV-000027,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_27,improving
INV-000028,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_28,stable
INV-000029,Monitoração de Sinalização Horizontal - Zebrados,Target_29,degrading
INV-000030,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_30,critical
INV-000031,Monitoração de Sinalização Horizontal - Zebrados,Target_31,stable
INV-000032,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_32,stable
INV-000033,Monitoração de Sinalização Horizontal - Zebrados,Target_33,critical
INV-000034,Monitoração de Terraplenos e Estruturas de Contenção,Target_34,degrading
INV-000035,Monitoração de Drenagem Profunda,Target_35,improving
INV-000036,Monitoração de Sinalização Vertical,Target_36,stable
INV-000037,Monitoração de Sinalização Vertical,Target_37,stable
INV-000038,Monitoração de Drenagem Profunda,Target_38,degrading
INV-000039,Monitoração de Sinalização Vertical,Target_39,improving
INV-000040,Monitoração de Sinalização Horizontal - Zebrados,Target_40,stable
INV-000041,Monitoração de Terraplenos e Estruturas de Contenção,Target_41,degrading
INV-000042,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_42,critical
INV-000043,Monitoração de Terraplenos e Estruturas de Contenção,Target_43,degrading
INV-000044,Monitoração de Sinalização Vertical,Target_44,degrading
